

========== MOVELINK - pathID ==========
row = predicted, column = actual
          -1,-1 472,476 623,630 573,577 156,160 422,427 566,571 4509,4521 190,195 1833,1846 1875,1879 414,421 355,357 3191,3203 594,609 1089,1094 638,643 3297,3302 446,450 254,259 221,226 1960,1964 
-1,-1     176.0 2.0     1.0     1.0     1.0     1.0     1.0     1.0       1.0     1.0       1.0       1.0     1.0     1.0       1.0     1.0       1.0     1.0       1.0     1.0     1.0     1.0       
472,476   0.0   0.0     0.0     0.0     0.0     0.0     0.0     0.0       0.0     0.0       0.0       0.0     0.0     0.0       0.0     0.0       0.0     0.0       0.0     0.0     0.0     0.0       
623,630   0.0   0.0     0.0     0.0     0.0     0.0     0.0     0.0       0.0     0.0       0.0       0.0     0.0     0.0       0.0     0.0       0.0     0.0       0.0     0.0     0.0     0.0       
573,577   0.0   0.0     0.0     0.0     0.0     0.0     0.0     0.0       0.0     0.0       0.0       0.0     0.0     0.0       0.0     0.0       0.0     0.0       0.0     0.0     0.0     0.0       
156,160   0.0   0.0     0.0     0.0     0.0     0.0     0.0     0.0       0.0     0.0       0.0       0.0     0.0     0.0       0.0     0.0       0.0     0.0       0.0     0.0     0.0     0.0       
422,427   0.0   0.0     0.0     0.0     0.0     0.0     0.0     0.0       0.0     0.0       0.0       0.0     0.0     0.0       0.0     0.0       0.0     0.0       0.0     0.0     0.0     0.0       
566,571   0.0   0.0     0.0     0.0     0.0     0.0     0.0     0.0       0.0     0.0       0.0       0.0     0.0     0.0       0.0     0.0       0.0     0.0       0.0     0.0     0.0     0.0       
4509,4521 0.0   0.0     0.0     0.0     0.0     0.0     0.0     0.0       0.0     0.0       0.0       0.0     0.0     0.0       0.0     0.0       0.0     0.0       0.0     0.0     0.0     0.0       
190,195   0.0   0.0     0.0     0.0     0.0     0.0     0.0     0.0       0.0     0.0       0.0       0.0     0.0     0.0       0.0     0.0       0.0     0.0       0.0     0.0     0.0     0.0       
1833,1846 0.0   0.0     0.0     0.0     0.0     0.0     0.0     0.0       0.0     0.0       0.0       0.0     0.0     0.0       0.0     0.0       0.0     0.0       0.0     0.0     0.0     0.0       
1875,1879 0.0   0.0     0.0     0.0     0.0     0.0     0.0     0.0       0.0     0.0       0.0       0.0     0.0     0.0       0.0     0.0       0.0     0.0       0.0     0.0     0.0     0.0       
414,421   0.0   0.0     0.0     0.0     0.0     0.0     0.0     0.0       0.0     0.0       0.0       0.0     0.0     0.0       0.0     0.0       0.0     0.0       0.0     0.0     0.0     0.0       
355,357   0.0   0.0     0.0     0.0     0.0     0.0     0.0     0.0       0.0     0.0       0.0       0.0     0.0     0.0       0.0     0.0       0.0     0.0       0.0     0.0     0.0     0.0       
3191,3203 0.0   0.0     0.0     0.0     0.0     0.0     0.0     0.0       0.0     0.0       0.0       0.0     0.0     0.0       0.0     0.0       0.0     0.0       0.0     0.0     0.0     0.0       
594,609   0.0   0.0     0.0     0.0     0.0     0.0     0.0     0.0       0.0     0.0       0.0       0.0     0.0     0.0       0.0     0.0       0.0     0.0       0.0     0.0     0.0     0.0       
1089,1094 0.0   0.0     0.0     0.0     0.0     0.0     0.0     0.0       0.0     0.0       0.0       0.0     0.0     0.0       0.0     0.0       0.0     0.0       0.0     0.0     0.0     0.0       
638,643   0.0   0.0     0.0     0.0     0.0     0.0     0.0     0.0       0.0     0.0       0.0       0.0     0.0     0.0       0.0     0.0       0.0     0.0       0.0     0.0     0.0     0.0       
3297,3302 0.0   0.0     0.0     0.0     0.0     0.0     0.0     0.0       0.0     0.0       0.0       0.0     0.0     0.0       0.0     0.0       0.0     0.0       0.0     0.0     0.0     0.0       
446,450   0.0   0.0     0.0     0.0     0.0     0.0     0.0     0.0       0.0     0.0       0.0       0.0     0.0     0.0       0.0     0.0       0.0     0.0       0.0     0.0     0.0     0.0       
254,259   0.0   0.0     0.0     0.0     0
